survey_country_wave,country_code,year,real_annual_sales_growth_pct,alt_target_labor_productivity_growth_pct,rd_spending_firms_pct,log_avg_fte_workers,avg_fte_workers,fixed_assets_purchase_firms_pct,direct_exporters_10pct_sales_pct,bank_loan_or_credit_line_firms_pct,finance_major_constraint_firms_pct,product_innovation_firms_pct,process_innovation_firms_pct,website_firms_pct,electronic_payments_made_pct,formal_training_workers_pct,quality_certification_firms_pct,electrical_outages_firms_pct
Bulgaria2023,BGR,2023,-2.049333334,-3.694224358,2.810348034,3.614999134737662,36.15131378,42.2900238,20.80109978,31.41492271,6.860053062,5.391963482,4.46809864,53.3832283,88.90351105,58.59284592,19.97615051,20.19131088
Bosnia and Herzegovina2023,BIH,2023,3.041226387,1.464514613,11.49003601,3.6315737259531775,36.77221298,39.52785873,29.69776154,42.95185852,2.396534204,7.830256462,1.288629413,87.41028595,94.66049957,57.01361465,28.41124535,14.62914848
Barbados2023,BRB,2023,24.47456169,16.84527016,5.382696629,3.426253534017597,29.76118088,23.58866501,6.807787418,26.9274025,3.71582818,32.52965546,10.92282104,87.30297089,73.3266449,70.78339386,2.916544437,63.02742386
Botswana2023,BWA,2023,18.93321609,16.67230034,6.196696281,3.61913535007603,36.30529785,27.45830536,6.253391743,23.10304451,20.26127243,20.2670536,9.572171211,45.89941025,69.77862549,58.33181381,10.40222645,64.15776825
Central African Republic2023,CAF,2023,19.43969536,18.41540527,44.25525284,3.148503588923924,22.30117035,35.61179733,18.884058,8.852995872,53.8228035,27.86085892,8.702892303,24.32821846,18.88931465,21.35813141,0.111368604,89.27954865
Cote d'Ivoire2023,CIV,2023,9.84778595,3.204232216,11.41320133,3.855462503415055,46.25046539,30.69175529,9.50622654,26.92733765,51.77827072,11.92004204,6.399745464,57.96688843,24.42910004,51.2177887,7.871520996,80.34918213
Colombia2023,COL,2023,12.6581049,2.625361443,12.78275871,3.7759751084896274,42.64004135,30.49246597,4.857352257,49.05964279,13.73325539,12.47729588,9.126496315,77.43514252,87.99111176,84.38251495,9.660431862,30.55766869
Costa Rica2023,CRI,2023,16.50146484,8.378753662,25.02890587,3.8575909561940187,46.35114288,48.44195175,11.00039291,50.80479431,13.4729023,64.48589325,44.98365402,88.06588745,89.09925842,69.51056671,15.12631798,51.41728973
Estonia2023,EST,2023,8.201969147,5.029630184,16.8245163,3.2518902464669983,24.83913612,61.35357285,29.62627029,34.71884918,6.543978691,14.90693569,6.61954689,82.14352417,98.336586,56.5129509,15.64025593,26.16258049
Georgia2023,GEO,2023,13.07540512,5.756688118,12.9221859,3.6852575235853715,38.85538483,44.80945206,10.91441822,53.34598923,11.09645748,28.09526062,16.58084869,64.05288696,86.74078369,59.55148315,8.988571167,42.39107132
Ghana2023,GHA,2023,14.91679859,5.744957447,11.37251091,3.5791712364374515,34.84382248,34.4743309,9.050719261,21.87861633,32.7303009,19.35040474,13.23000908,64.0050354,41.21802521,66.77200317,7.73171854,73.76318359
Gambia2023,GMB,2023,6.966498375,-2.003180742,3.671244621,2.8748666509170677,16.72306061,55.72411346,12.15027523,8.788246155,47.86031342,25.8692627,17.8069725,41.50226593,13.20557117,42.45902252,0.571041763,86.94114685
